epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.808,1.40352,2.40559,1.57577,0.723,0.10289,0.38228,0.1391,1.68541,3.73748,1.90116,0.000466199,0.000466199,0.000466199
2,728.208,1.42589,1.87851,1.52931,0.67351,0.30208,0.33563,0.16341,1.61627,3.19856,1.97387,0.00092387,0.00092387,0.00092387
3,989.197,1.48375,1.68322,1.56663,0.50342,0.30239,0.22008,0.08818,2.16213,3.47424,2.94186,0.00136268,0.00136268,0.00136268
4,1271.18,1.45834,1.54527,1.52364,0.7207,0.38942,0.38706,0.16906,1.90631,2.59714,2.12277,0.00134412,0.00134412,0.00134412
5,1576.61,1.43672,1.42828,1.53102,0.88168,0.42058,0.53265,0.25964,1.6569,2.4063,1.86215,0.00131582,0.00131582,0.00131582
6,1854.98,1.42683,1.30689,1.49957,0.94818,0.57343,0.63002,0.34285,1.54067,1.50724,1.83005,0.00128753,0.00128753,0.00128753
7,2129.73,1.43864,1.26511,1.51679,0.93837,0.52253,0.62316,0.31959,1.58644,1.4846,1.79553,0.00125923,0.00125923,0.00125923
8,2399.17,1.36765,1.15211,1.47094,0.96942,0.5973,0.66829,0.34985,1.46308,1.1722,1.76975,0.00123094,0.00123094,0.00123094
9,2670.64,1.35966,1.08837,1.44567,0.96693,0.60101,0.63234,0.36947,1.42562,1.05161,1.62152,0.00120265,0.00120265,0.00120265
10,2940.39,1.34788,1.06211,1.45848,0.9682,0.60718,0.6427,0.38773,1.40746,0.98582,1.63371,0.00117435,0.00117435,0.00117435
11,3210.95,1.32388,0.9774,1.41557,0.89413,0.56559,0.59569,0.33619,1.44784,1.18046,1.65047,0.00114606,0.00114606,0.00114606
12,3481.23,1.31507,0.96572,1.42845,0.90143,0.51855,0.59051,0.33406,1.53782,1.29142,1.74611,0.00111776,0.00111776,0.00111776
13,3751.1,1.32083,0.94881,1.42609,0.96786,0.6188,0.67504,0.39811,1.39118,0.90282,1.58616,0.00108947,0.00108947,0.00108947
14,4025.35,1.34722,0.95139,1.4345,0.70222,0.69916,0.77163,0.47159,1.31468,0.79522,1.54132,0.00106118,0.00106118,0.00106118
15,4299.6,1.25724,0.89118,1.36954,0.9684,0.58624,0.64382,0.37321,1.44779,0.85673,1.60452,0.00103288,0.00103288,0.00103288
16,4580.35,1.26703,0.869,1.38977,0.59179,0.79399,0.69269,0.41734,1.31066,0.83154,1.54578,0.00100459,0.00100459,0.00100459
17,4880.65,1.26929,0.84385,1.38065,0.65995,0.79145,0.73455,0.4469,1.29645,0.77145,1.51165,0.000976293,0.000976293,0.000976293
18,5185.92,1.2757,0.8196,1.3736,0.7347,0.77889,0.72588,0.44627,1.3227,0.74756,1.50785,0.000947999,0.000947999,0.000947999
19,5445.78,1.202,0.78272,1.35409,0.70487,0.78474,0.69201,0.41139,1.30886,0.74813,1.50576,0.000919704,0.000919704,0.000919704
20,5819.03,1.22823,0.78717,1.3578,0.70748,0.71253,0.7247,0.4413,1.32407,0.74945,1.52998,0.00089141,0.00089141,0.00089141
21,6554.95,1.24395,0.77487,1.36672,0.97295,0.6145,0.73304,0.48472,1.30678,0.72743,1.49523,0.000863116,0.000863116,0.000863116
22,6847.12,1.22807,0.77747,1.36612,0.68874,0.78979,0.68961,0.44506,1.26139,0.70475,1.45969,0.000834822,0.000834822,0.000834822
23,7111.4,1.2224,0.77946,1.35981,0.8228,0.70152,0.7543,0.46641,1.25637,0.67612,1.46254,0.000806528,0.000806528,0.000806528
24,7372.17,1.19358,0.73104,1.34403,0.79204,0.78547,0.78619,0.49571,1.25529,0.66161,1.47549,0.000778233,0.000778233,0.000778233
25,7633.8,1.18093,0.73508,1.33609,0.74894,0.7865,0.77212,0.49637,1.24577,0.63717,1.46915,0.000749939,0.000749939,0.000749939
26,7906.44,1.16103,0.70755,1.31199,0.95241,0.77372,0.82728,0.47105,1.25114,0.64634,1.46067,0.000721645,0.000721645,0.000721645
27,8168.52,1.17489,0.70985,1.3138,0.81125,0.78404,0.75865,0.48846,1.22987,0.63347,1.44438,0.000693351,0.000693351,0.000693351
28,8429,1.13762,0.69332,1.305,0.84826,0.78022,0.78333,0.4748,1.24959,0.66559,1.49521,0.000665057,0.000665057,0.000665057
29,8688.09,1.16718,0.67645,1.32865,0.81957,0.77591,0.79085,0.4902,1.27726,0.67788,1.46279,0.000636762,0.000636762,0.000636762
